"RELEVE_NR","Country","Altitude (m)","DEG_LON","DEG_LAT","GESELLSCH","dataset","Ecoreg","Dunes_Bohn","Coast_EEA"
54,"Germany",1,6.62,51.45,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
55,"Germany",1,9.01,53.28,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
56,"Germany",1,7.51,52.66,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
57,"Germany",1,10.62,53.95,"Lemno-Spirodeletum","Germany Vegetweb 2",647,"N_Dunes","N_COAST"
58,"Germany",1,10.62,53.95,"Lemno-Spirodeletum","Germany Vegetweb 2",647,"N_Dunes","N_COAST"
59,"Germany",1,10.62,53.95,"Lemno-Spirodeletum","Germany Vegetweb 2",647,"N_Dunes","N_COAST"
60,"Germany",1,10.17,51.89,"Lemno-Spirodeletum","Germany Vegetweb 2",686,"N_Dunes","N_COAST"
61,"Germany",1,7.55,53.13,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
62,"Germany",1,9.02,52.96,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
63,"Germany",1,9.02,52.96,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
64,"Germany",1,11.2,52.97,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
65,"Germany",1,11.01,52.98,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
66,"Germany",1,10.22,52.03,"Lemno-Spirodeletum","Germany Vegetweb 2",686,"N_Dunes","N_COAST"
67,"Germany",1,8.46,52.88,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
68,"Germany",1,7.26,53.6,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
69,"Germany",1,9.18,52.88,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
70,"Germany",1,10.24,53.68,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
71,"Germany",1,8.81,53.16,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
72,"Germany",1,10.64,53.98,"Lemno-Spirodeletum","Germany Vegetweb 2",647,"N_Dunes","N_COAST"
73,"Germany",1,7.28,53.59,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
74,"Germany",1,11.43,53.04,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
75,"Germany",1,10.24,53.68,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
76,"Germany",1,8.51,53.16,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
77,"Germany",1,8.53,53.69,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
78,"Germany",1,9.12,52.61,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
79,"Germany",1,9.22,52.94,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
80,"Germany",1,9.02,53.71,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
81,"Germany",1,7.45,52.28,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
82,"Germany",1,7.45,52.28,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
83,"Germany",1,8.85,52.21,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
84,"Germany",1,9.59,52.73,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
85,"Germany",1,9.12,52.51,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
86,"Germany",1,8.83,53.83,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
87,"Germany",1,10.93,53.28,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
88,"Germany",1,8.51,53.16,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
89,"Germany",1,9.85,52.15,"Lemno-Spirodeletum","Germany Vegetweb 2",654,"N_Dunes","N_COAST"
90,"Germany",1,8.29,52.36,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
91,"Germany",1,8.24,52.36,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
92,"Germany",1,8.51,53.16,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
93,"Germany",1,8.51,53.16,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
94,"Germany",1,8.51,53.16,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
95,"Germany",1,8.51,53.16,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
96,"Germany",1,9.29,53.9,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
97,"Germany",1,9.26,53.9,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
98,"Germany",1,10.65,53.98,"Lemno-Spirodeletum","Germany Vegetweb 2",647,"N_Dunes","N_COAST"
99,"Germany",1,11.13,52.94,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
100,"Germany",1,8.51,53.16,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
101,"Germany",1,8.27,52.5,"Spirodeletum polyrhizae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
102,"Germany",1,7.5,52.66,"Spirodeletum polyrhizae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
103,"Germany",1,7.2,53.43,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
104,"Germany",1,10.89,53.09,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
105,"Germany",1,9.02,53.71,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
106,"Germany",1,10.04,54.34,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",647,"N_Dunes","BAL_COAST"
107,"Germany",1,8.27,53.53,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
108,"Germany",1,10.23,53.69,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
109,"Germany",1,8.25,53.54,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
110,"Germany",1,8.25,53.54,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
111,"Germany",1,8.24,53.56,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
112,"Germany",1,8.27,53.58,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
113,"Germany",1,8.33,53.6,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
114,"Germany",1,8.38,53.56,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
115,"Germany",1,8.36,53.56,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
116,"Germany",1,8.38,53.57,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
117,"Germany",1,8.43,53.33,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
118,"Germany",1,11.13,53.1,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
119,"Germany",1,11.13,53.1,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
120,"Germany",1,11.28,52.91,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
121,"Germany",1,11.27,52.91,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
122,"Germany",1,11.27,52.91,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
123,"Germany",1,11.27,52.91,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
124,"Germany",1,11.17,52.97,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
125,"Germany",1,9.05,52.49,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
126,"Germany",1,8.45,53.48,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
127,"Germany",1,8.38,53.56,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
128,"Germany",1,8.35,52.96,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
129,"Germany",1,8.51,53.16,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
131,"Germany",1,11.04,53.09,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
132,"Germany",1,11.04,53.09,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
133,"Germany",1,10.62,53.95,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",647,"N_Dunes","N_COAST"
134,"Germany",1,10.62,53.95,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",647,"N_Dunes","N_COAST"
135,"Germany",1,8.28,53.59,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
136,"Germany",1,10.31,53.68,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
137,"Germany",1,8.34,53.18,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
138,"Germany",1,9.3,52.44,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
139,"Germany",1,9.12,52.51,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
140,"Germany",1,11.13,53.11,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
141,"Germany",1,8.93,52.69,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
142,"Germany",1,9.06,52.52,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
143,"Germany",1,9.12,52.51,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
144,"Germany",1,7.5,52.66,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
145,"Germany",1,9.3,52.44,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
146,"Germany",1,8.46,52.88,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
147,"Germany",1,8.33,53.51,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
148,"Germany",1,8.94,53.82,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
149,"Germany",1,9.4,53.84,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
150,"Germany",1,9.09,54.39,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
151,"Germany",1,10.18,52.35,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
152,"Germany",1,11.13,53.11,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
153,"Germany",1,11.09,53.03,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
154,"Germany",1,8.55,52.67,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
155,"Germany",1,10.65,53.04,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
156,"Germany",1,11.13,53.11,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
157,"Germany",1,10.11,53.71,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
158,"Germany",1,0,0,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
159,"Germany",1,0,0,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
160,"Germany",1,9.02,53.71,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
161,"Germany",1,7.27,52.67,"Lemnetum minoris-trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
162,"Germany",1,9.3,52.44,"Hydrocharetum morsus-ranae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
163,"Germany",1,9.87,52.31,"Lemnetum trisulcae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
164,"Germany",1,11.04,53.09,"Ricciocarpetum natantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
165,"Germany",1,11.04,53.09,"Ricciocarpetum natantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
166,"Germany",1,11.04,53.09,"Ricciocarpetum natantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
167,"Germany",1,11.04,53.09,"Ricciocarpetum natantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
168,"Germany",1,11.04,53.09,"Ricciocarpetum natantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
169,"Germany",1,11.04,53.09,"Ricciocarpetum natantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
170,"Germany",1,10.12,52.26,"Ricciocarpetum natantis","Germany Vegetweb 2",654,"N_Dunes","N_COAST"
171,"Germany",1,10.12,52.26,"Ricciocarpetum natantis","Germany Vegetweb 2",654,"N_Dunes","N_COAST"
172,"Germany",1,9.71,52.68,"Ricciocarpetum natantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
173,"Germany",1,10.11,52.61,"Ricciocarpetum natantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
174,"Germany",1,10.58,51.59,"Riccietum fluitantis","Germany Vegetweb 2",686,"N_Dunes","N_COAST"
175,"Germany",1,10.58,51.59,"Riccietum fluitantis","Germany Vegetweb 2",686,"N_Dunes","N_COAST"
176,"Germany",1,10.58,51.59,"Riccietum fluitantis","Germany Vegetweb 2",686,"N_Dunes","N_COAST"
177,"Germany",1,10.58,51.59,"Riccietum fluitantis","Germany Vegetweb 2",686,"N_Dunes","N_COAST"
178,"Germany",1,10.58,51.59,"Riccietum fluitantis","Germany Vegetweb 2",686,"N_Dunes","N_COAST"
179,"Germany",1,10.84,53.12,"Riccietum fluitantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
180,"Germany",1,9.96,53.17,"Riccietum fluitantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
181,"Germany",1,7.26,53.6,"Riccietum fluitantis","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
182,"Germany",1,9.77,53.17,"Riccietum fluitantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
183,"Germany",1,9.85,53.06,"Riccietum fluitantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
184,"Germany",1,9.85,53.06,"Riccietum fluitantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
185,"Germany",1,9.85,53.06,"Riccietum fluitantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
186,"Germany",1,8.81,53.49,"Riccietum fluitantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
187,"Germany",1,8.81,53.49,"Riccietum fluitantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
188,"Germany",1,8.81,53.49,"Riccietum fluitantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
189,"Germany",1,8.19,53.1,"Riccielletum, Subassoziation von Azolla","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
190,"Germany",1,8.19,53.1,"Riccielletum, Subassoziation von Azolla","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
191,"Germany",1,8.19,53.1,"Riccielletum, Subassoziation von Azolla","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
192,"Germany",1,8.19,53.1,"Riccielletum, Subassoziation von Azolla","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
193,"Germany",1,8.19,53.1,"Riccielletum, Subassoziation von Azolla","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
194,"Germany",1,8.19,53.1,"Riccielletum, Subassoziation von Azolla","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
195,"Germany",1,13.25,52.46,"Riccietum fluitantis","Germany Vegetweb 2",654,"N_Dunes","N_COAST"
196,"Germany",1,13.25,52.46,"Riccietum fluitantis","Germany Vegetweb 2",654,"N_Dunes","N_COAST"
197,"Germany",1,9.2,52.2,"Riccietum fluitantis","Germany Vegetweb 2",686,"N_Dunes","N_COAST"
198,"Germany",1,9.78,53.12,"Riccietum fluitantis","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
199,"Germany",1,10.58,51.59,"Lemna minor-Bestnde","Germany Vegetweb 2",686,"N_Dunes","N_COAST"
200,"Germany",1,11.02,53.02,"Lemna minor-Bestnde","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
201,"Germany",1,11.32,52.91,"Lemna minor-Bestnde","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
202,"Germany",1,11.13,53.06,"Lemna minor-Bestnde","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
203,"Germany",1,9.85,53.05,"Lemna minor-Bestnde","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
204,"Germany",1,7.58,53.14,"Lemna minor-Bestnde","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
205,"Germany",1,7.51,52.66,"Lemna minor-Bestnde","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
206,"Germany",1,8.82,53.31,"Lemna minor-Bestnde","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
207,"Germany",1,9.85,53.05,"Lemna minor-Utricularia-Gesellschaft","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
208,"Germany",1,9.85,53.04,"Lemna minor-Utricularia-Gesellschaft","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
209,"Germany",1,11.04,53.09,"Lemna minor-Utricularia-Gesellschaft","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
210,"Germany",1,9.89,54.77,"Lemnetea","Germany Vegetweb 2",647,"N_Dunes","BAL_COAST"
211,"Germany",1,0,0,"Spirodeletum polyrhizae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
212,"Germany",1,0,0,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
213,"Germany",1,0,0,"Lemno-Spirodeletum","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
214,"Germany",1,7.31,52.45,"Lemnetea","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
216,"Germany",1,7.88,53.79,"Zosteretum marinae","Germany Vegetweb 2",664,"Y_DUNES","ATL_COAST"
217,"Germany",1,7.9,53.79,"Zosteretum marinae","Germany Vegetweb 2",664,"Y_DUNES","ATL_COAST"
218,"Germany",1,8.35,54.7,"Zosteretum marinae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
219,"Germany",1,8.43,55.04,NA,"Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
220,"Germany",1,8.43,55.04,"Zosteretum marinae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
221,"Germany",1,8.43,55.04,"Zosteretum marinae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
222,"Germany",1,8.43,55.04,"Zosteretum marinae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
223,"Germany",1,8.43,55.04,"Zosteretum marinae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
224,"Germany",1,8.43,55.04,"Zosteretum marinae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
225,"Germany",1,7.7,53.77,"Zosteretum noltii","Germany Vegetweb 2",664,"Y_DUNES","ATL_COAST"
226,"Germany",1,7.16,53.71,"Zosteretum noltii","Germany Vegetweb 2",664,"Y_DUNES","ATL_COAST"
227,"Germany",1,7.7,53.77,"Zosteretum noltii","Germany Vegetweb 2",664,"Y_DUNES","ATL_COAST"
228,"Germany",1,7.7,53.77,"Zosteretum noltii","Germany Vegetweb 2",664,"Y_DUNES","ATL_COAST"
229,"Germany",1,7.7,53.77,"Zosteretum noltii","Germany Vegetweb 2",664,"Y_DUNES","ATL_COAST"
230,"Germany",1,7.7,53.77,"Zosteretum noltii","Germany Vegetweb 2",664,"Y_DUNES","ATL_COAST"
231,"Germany",1,7.9,53.79,"Zosteretum","Germany Vegetweb 2",664,"Y_DUNES","ATL_COAST"
232,"Germany",1,8.53,54.55,"Zosteretum noltii","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
